'T_{chw;in} [C]','T_{cw;in} [C]','T_{hw;in} [C]','Vdot_{chw} [m³/h]','Vdot_{cw} [m³/h]','Vdot_{hw} [m³/h]','Qdot_{eva} [kW]','Qdot_{ac} [kW]','Qdot_{gen} [kW]','COP_{th}','Wdot [kW]','COP_{overall}',EER
8.66,27,80.01,1.72,4.75,2.24,7.26,21.11,12.72,0.57,0.57,0.5,4.2
9.94,27,79.97,1.72,4.76,2.24,7.92,22.34,13.2,0.6,0.57,0.53,4.59
11.26,27.02,79.99,1.72,4.78,2.24,8.5,23.04,13.49,0.63,0.57,0.56,4.92
12.5,27,80,1.72,4.78,2.24,9.27,24.81,14.26,0.65,0.58,0.58,5.27
14.12,27.02,79.98,1.72,4.78,2.24,10.29,26.11,14.7,0.7,0.58,0.63,5.85
15.41,27.03,79.97,1.72,4.77,2.24,10.83,27.04,15.05,0.72,0.59,0.64,6.06
16.59,27.02,79.98,1.72,4.77,2.24,11.28,28.08,15.46,0.73,0.6,0.65,6.21
7.01,30,79.99,1.72,4.75,2.24,4.07,13.53,8.28,0.49,0.57,0.41,2.35
8.36,29.99,80,1.72,4.76,2.24,4.7,14.6,8.65,0.54,0.58,0.45,2.67
9.66,29.99,80,1.72,4.76,2.24,5.23,15.42,9.03,0.58,0.59,0.48,2.93
10.95,30,80,1.72,4.76,2.24,5.88,16.23,9.33,0.63,0.59,0.53,3.29
12.25,30,79.99,1.72,4.76,2.24,6.43,17.11,9.65,0.67,0.59,0.56,3.6
13.88,30,80.01,1.72,4.76,2.24,7.69,19.37,10.65,0.72,0.6,0.62,4.23
15.16,30.01,80,1.72,4.76,2.24,8.29,20.15,10.92,0.76,0.6,0.65,4.56
16.37,29.99,80,1.72,4.77,2.24,8.59,20.97,11.24,0.76,0.6,0.66,4.72
5.52,33,80,1.72,4.8,2.24,1.05,6.82,5.11,0.21,0.64,0.15,0.54
6.82,32.98,80.02,1.72,4.8,2.24,1.63,8.27,5.65,0.29,0.59,0.22,0.91
8.09,33,79.99,1.72,4.8,2.24,2.22,9.18,6.07,0.36,0.59,0.28,1.24
9.27,33,79.9,1.72,4.79,2.24,2.59,9.39,5.87,0.44,0.6,0.34,1.42
10.92,33.02,79.94,1.72,4.78,2.24,3.7,10.76,6.43,0.58,0.6,0.45,2.04
12.2,33.01,80,1.72,4.79,2.24,4.27,11.55,6.73,0.63,0.6,0.5,2.35
6.29,35,80,1.72,4.79,2.24,0.49,5.99,4.64,0.11,0.6,0.08,0.27
7.39,35,80.01,1.72,4.79,2.24,0.83,6.5,4.83,0.17,0.6,0.12,0.45
8.5,34.99,80.02,1.72,4.79,2.24,0.99,6.69,4.95,0.2,0.6,0.15,0.54
9.65,35,80,1.72,4.79,2.24,1.33,7.23,5.2,0.26,0.6,0.19,0.73
10.8,34.99,79.94,1.72,4.79,2.24,1.83,8.29,5.38,0.34,0.61,0.25,0.99
9.15,27,84.99,1.71,4.78,2.23,8.28,24.19,14.85,0.56,0.56,0.5,4.88
10.45,27,85,1.72,4.78,2.23,8.95,25.15,15.09,0.59,0.57,0.64,5.18
12.03,27,84.99,1.72,4.78,2.24,10.03,26.62,15.6,0.64,0.6,0.65,5.52
13.23,26.98,84.98,1.72,4.78,2.24,10.46,27.21,15.64,0.67,0.67,0.64,5.15
14.44,27.04,84.99,1.72,4.78,2.24,10.84,28.79,16.16,0.67,0.67,0.64,5.34
15.75,27.07,85.03,1.72,4.78,2.24,11.49,28.87,16.83,0.68,0.68,0.64,5.58
17.04,27.05,85.02,1.72,4.77,2.24,12.03,29.77,17.11,0.7,0.7,0.64,5.67
8,30,85.01,1.73,4.76,2.24,5.96,18.66,11.73,0.51,0.6,0.44,3.28
9.22,30,84.99,1.71,4.77,2.23,6.34,19.3,11.87,0.53,0.6,0.64,3.49
10.65,30,84.98,1.72,4.77,2.24,7.33,20.94,12.76,0.57,0.61,0.5,3.97
11.97,30,85.01,1.73,4.77,2.24,8.03,22.29,13.54,0.59,0.62,0.52,4.27
13.1,30,84.98,1.74,4.77,2.24,8.31,22.58,13.59,0.61,0.62,0.64,4.42
14.39,30,85.03,1.74,4.77,2.24,8.85,23.28,13.58,0.65,0.61,0.64,4.79
15.71,29.99,85,1.72,4.77,2.24,9.45,24.36,14.13,0.67,0.61,0.64,5.11
17,29.98,84.97,1.72,4.77,2.23,9.99,25.41,14.5,0.69,0.62,0.64,5.32
6.47,33,85.01,1.72,4.79,2.24,2.89,11.31,7.92,0.36,0.61,0.3,1.56
7.68,33,85.01,1.71,4.8,2.23,3.33,12.09,8.37,0.4,0.6,0.33,1.83
8.87,33.01,85.04,1.71,4.81,2.23,3.75,13.12,8.91,0.42,0.6,0.35,2.06
10.51,33.01,85.01,1.71,4.78,2.24,5,15.68,10,0.5,0.61,0.64,2.71
11.83,33,85,1.71,4.78,2.24,5.67,16.95,10.71,0.53,0.62,0.64,3.02
13.1,33,85.01,1.71,4.79,2.24,6.14,17.92,11.24,0.55,0.63,0.64,3.22
14.45,32.99,85,1.72,4.78,2.24,6.68,18.92,11.73,0.57,0.63,0.64,3.5
15.62,33,85,1.72,4.78,2.24,7.15,19.62,12.07,0.59,0.63,0.64,3.74
5.52,35,85.01,1.73,4.79,2.25,1.03,7.5,6.07,0.17,0.6,0.13,0.56
6.83,34.99,85.01,1.73,4.79,2.24,1.7,8.83,6.56,0.26,0.61,0.2,0.92
8.18,35,85,1.73,4.77,2.24,2.36,9.97,7.13,0.33,0.61,0.26,1.27
9.5,35,85,1.73,4.77,2.23,3,11.19,7.73,0.39,0.62,0.31,1.59
10.77,35,85,1.73,4.77,2.23,3.53,12.28,8.27,0.43,0.63,0.35,1.85
12.12,35,85,1.73,4.77,2.23,4.25,13.36,8.75,0.49,0.63,0.4,2.22
13.4,35,84.99,1.73,4.76,2.23,4.76,14.35,9.18,0.52,0.63,0.43,2.49
