P_{w;su;exp},T_{w;su;exp},P_{w;ex;exp},T_{w;ex;exp},N_{rot},R_{elec},T_{amb},M_{dot;w},W_{dot;el;exp},T_{exp;sideVolute},T_{exp;backVolute},T_{exp;shaft},T_{exp;exShaftUp},T_{exp;exShaftLeft},epsilon_s
4.542571827,178.8059453,1.037580038,91.43769426,4862.683715,2.1,39.38165526,4.991218882,233.2991418,112.2920086,104.6235329,101.3395371,105.3933274,103.464211,17.86802745
4.763684439,179.2992035,1.038777204,91.58475968,4418.555457,1.8,39.21343687,5.062092218,246.3642222,114.3387418,107.1161301,102.3894843,107.4334766,104.8669583,18.07175407
4.880721664,177.3566082,1.041934425,91.75542632,4193.009897,1.6,40.5502685,5.002862173,247.0668327,115.5999797,109.2990776,113.2486981,110.63523,108.2736947,18.15524757
4.890854424,178.0362521,1.044233145,91.59260991,4182.697608,1.4,41.30232352,5.010066306,244.24245,115.8049151,109.8714429,116.5483165,111.5412013,109.9861592,17.90611119
4.929051989,182.0979214,1.051852422,92.04442756,3998.771595,1.2,42.69584512,4.920865664,250.5647111,118.39293,112.8119429,121.4774377,116.2544439,115.345204,18.58951274
5.218085796,172.2842397,1.05566874,91.30533151,3646.28321,1.2,39.11449854,5.367795091,233.2890494,108.0839567,102.2723938,101.4513099,102.9672702,101.9938189,15.58610495
5.495785751,189.4853173,1.061441753,92.16112698,3962.034525,1,42.29090485,5.26412493,307.6871404,119.6308154,110.7999435,113.8567998,111.8954528,106.9848082,19.94683131
5.583676391,188.2841696,1.067398207,92.27696622,3540.797766,0.8,42.85437204,5.259522255,303.0781633,121.5465438,112.920806,119.0458877,113.881785,115.1725596,19.58762042
6.069656476,190.2800781,1.081883916,93.17208597,3397.087617,0.6,46.03573851,5.623282677,332.5547024,123.8176862,116.4102605,124.0074901,119.6338168,118.4128593,19.30880566
6.491143295,189.0778871,1.083441471,93.49973789,2813.728043,0.4,46.44218439,5.661464054,301.7742679,125.5929488,117.9725317,124.5449534,121.2666455,119.7788651,16.85490987
