'r_p [-]','N_{rot} [rpm]','p_{su} [bar]','epsilon_s','phi'
8.561,1455,13.27,0.587,1.029
4.65,2000,12.14,0.728,0.8832
3.047,2000,12.48,0.738,0.8728
3.424,2000,12.39,0.748,0.8745
6.226,2000,11.86,0.679,0.8923
7.418,2000,11.72,0.646,0.8974
4.245,2000,12.2,0.738,0.8799
3.662,2000,12.33,0.747,0.875
5.535,2000,12.01,0.701,0.8874
5.099,2000,12.08,0.712,0.8855
3.2,2000,12.44,0.744,0.8735
3.931,2000,12.26,0.743,0.8784
8.141,2250,13.27,0.643,0.8573
5.787,2500,9.08,0.658,0.8268
4.359,2500,9.12,0.685,0.8194
3.991,2500,9.22,0.689,0.8189
7.22,2500,12.13,0.668,0.8167
4.974,2500,9.13,0.68,0.8231
3.123,2500,12.89,0.724,0.7905
2.982,2500,9.2,0.618,0.8156
3.311,2500,12.79,0.739,0.7938
2.786,2500,9.25,0.565,0.806
3.528,2500,12.72,0.745,0.797
3.219,2500,9.19,0.661,0.8167
6.548,2500,12.18,0.687,0.8155
2.598,2500,9.3,0.503,0.8028
2.347,2500,9.34,0.354,0.7954
4.05,2500,12.59,0.747,0.8011
2.416,2500,9.33,0.415,0.8002
4.36,2500,12.51,0.742,0.8042
5.258,2500,12.33,0.718,0.8098
4.746,2500,12.41,0.731,0.8065
5.806,2500,12.25,0.706,0.8127
3.767,2500,12.66,0.749,0.7985
3.584,2500,9.21,0.679,0.8181
7.776,2850,13.22,0.653,0.7816
3.509,3000,12.6,0.718,0.7482
3.619,3000,9.37,0.655,0.7612
3.75,3000,12.54,0.73,0.748
4.01,3000,12.47,0.735,0.749
5.022,3000,9.25,0.685,0.7642
5.992,3000,9.2,0.669,0.7651
4.341,3000,12.41,0.732,0.7516
4.753,3000,12.33,0.725,0.7534
5.217,3000,12.25,0.713,0.7542
5.741,3000,12.17,0.7,0.7559
6.484,3000,12.06,0.679,0.7573
7.101,3000,12,0.663,0.7594
3.067,3000,9.56,0.585,0.7478
2.858,3000,9.59,0.521,0.7472
3.345,3000,9.53,0.642,0.7504
3.104,3000,12.76,0.659,0.742
2.356,3000,9.79,0.222,0.7335
2.535,3000,9.72,0.348,0.738
2.674,3000,9.6,0.44,0.7474
3.286,3000,12.7,0.694,0.7446
4.475,3000,9.32,0.688,0.7599
3.996,3000,9.38,0.68,0.7578
3.1,3500,12.7,0.541,0.683
3.273,3500,12.64,0.593,0.6842
3.5,3500,12.57,0.645,0.687
3.736,3500,12.5,0.676,0.6888
3.999,3500,12.43,0.699,0.6909
4.332,3500,12.36,0.706,0.6927
4.727,3500,12.28,0.705,0.6955
5.216,3500,12.19,0.699,0.6977
2.98,3500,9.2,0.382,0.6959
3.212,3500,9.16,0.464,0.6991
5.799,3500,12.12,0.688,0.7003
3.502,3500,9.14,0.544,0.7011
3.877,3500,9.11,0.591,0.702
6.503,3500,12.03,0.67,0.703
2.755,3500,9.2,0.265,0.6947
4.332,3500,9.07,0.623,0.7046
4.943,3500,9.04,0.631,0.7068
7.18,3500,11.99,0.655,0.705
5.532,3500,9.02,0.607,0.7092
